	post_id	text	annotatorid	target	label	rationales	final_label
0	915618589855617026	['පරණ', 'කෑල්ල', 'අද', 'වෙනකම්', 'හිටියනම්', 'අදට', 'අවුරුදු', '4යි', 'යාලු', 'වෙලා', 'වෙලාවට', 'ඊට', 'පහු', 'වෙනිදම', 'බූට්', 'එක', 'කෑවෙ', 'නැත්තම්', 'අවුරුදු', '4ක්', 'එක', 'කෙල්ලෙක්', 'ටෞකනවා']	1	['None']	offensive	[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]]	toxic
1	1397219745707986955	['හොඳ', 'මිතුරියක්', 'කතා', 'කලා', 'විස්තර', 'කතාකරමින්', 'ඉදලා', 'මේ', 'දවස්වල', 'මොකො', 'කරන්නේ', 'ඇහුවා', 'මම', 'උයපු', 'හදපු', 'කෑම', 'බීම', 'ජාති', 'කිව්වා', 'බැඳලත්', 'නැති', 'එකෙ', 'ඔච්චර', 'උයන්න', 'යන්න', 'එපා', 'තෝ', 'ගෑනියෙක්', 'වෙයි', 'කියලා', 'එයා', 'කිව්ව', 'ඒක', 'ඇහු', 'වෙලේ', 'ඉදන්', 'ඇග', 'බිජ්ජට', 'තියෙන', 'සම්බන්ධය', 'අඩුවෙනව', 'වගෙ', 'මේ', 'කොරෝනස්සෙ', 'ඒකත්', 'හැලිල', 'යයිද', 'මන්දා']	1	['None']	offensive	[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]	toxic
2	950376113150222336	['ඔය', 'බනින්නෙ', 'හරකා', 'මී', 'හරකා', 'කිය', 'කිය']	1	['None']	offensive	[[0, 0, 1, 1, 1, 0, 0]]	toxic
3	746759888664035328	['රැ', 'ඩැනියල්', 'දවල්', 'මිගෙල්', 'is', 'on', 'Swarnawahini', 'හම්මේ', 'ගොන්', 'ජෝක්', 'තමා', 'ඒත්', 'කොච්චර', 'බැලුවත්', 'එපා', 'වෙන්නේ', 'නෑ']	1	['None']	offensive	[[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]]	toxic
4	715019979393863681	['USER', 'USER', 'අඩො', 'බර්ත්ඩේ', 'එක', 'දවසේ', 'පු', 'පලාගන්න', 'ආසද', 'v']	1	['None']	offensive	[[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]]	toxic
5	1314493794851713024	['නිරෝදායනයට', 'යන්න', 'එනවද', 'කියලා', 'මීනාක්ශිගෙන්', 'ඇහුවා', 'එන්න', 'බෑලු', 'එහෙනම්', 'උඹ', 'එන්නෑ', 'නැහැ', 'පරට්ටි', 'ගුහාසටනපොකුර']	1	['None']	offensive	[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]]	toxic
6	1465316484880625673	['USER', 'USER', 'මේ', 'වගේ', 'දෙවල්', 'ශෙයාර්', 'කරල', 'මිනිස්සු', 'හරි', 'හමන්', 'දැනීමක්', 'නැතුව', 'මේක', 'කරන්න', 'ගිහින්', 'වෙන', 'අනතුරු', 'වලට', 'වගකියන්නේ', 'උඹේ', 'බාප්පද', 'ගොන්', 'වැඩ', 'කරන්න', 'එපා', 'යකො', 'ඔච්චරම', 'පුඅමාරුවනම්', 'උඹ', 'ට්\u200dරයි', 'කරල', 'බලපන්', 'අපේ', 'ප්ලීස්', 'මචන්', 'ම්', 'එක', 'පාරක්', 'ට්\u200dරයි', 'කරපන්']	1	['None']	offensive	[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]	toxic
7	1038768908562391052	['USER', 'USER', 'හිනා', 'උනේ', 'පකෝ', 'වරෙන්', 'ඒක', 'හාන්න']	1	['None']	offensive	[[0, 0, 0, 0, 1, 0, 0, 0]]	toxic
8	732608492368842752	['චන්ද්\u200dරිකා', 'යුද්ධයෙන්', '75', 'ඉවර', 'කළ', 'අයුරු', '3', '3', '3', 'බැල්ලි', 'URL']	1	['None']	offensive	[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]]	toxic
9	1389205230890274824	['ඔයාගෙ', 'යෝනිය', 'ගැන', 'මං', 'දන්නෑ', 'හැබැයි', 'මේ', 'කරන', 'කැත', 'වැඩේට', 'අහු', 'උනොත්', 'ගුද', 'මාර්ගෙනම්', 'පලනවා', 'අම්මපාfuk', 'Heshu', 'USER', '·', '3', 'May', '2021', 'හායි', 'guys', 'කොහොමද', 'ඔයාලට', 'බලමු', 'මගේ', 'යෝනියට', 'කරන්න', 'පුලුවන්', 'දේවල්', 'මොනාද', 'කියලා']	1	['None']	offensive	[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]	toxic
10	1188847229424947200	['USER', 'අනේ', 'මේ', 'පයියකට', 'වහන්', 'හිටු']	1	['None']	offensive	[[0, 0, 0, 0, 0, 0]]	toxic
11	1133368618828279809	['නෙදකින්', 'මේ', 'වගේ', 'පොන්න', 'නායකයෝ', 'මේ', 'රට', 'පාලනය', 'කරන', 'කාලෙම', 'අපිටත්', 'ඉන්න', 'උනානේ', 'කොහොමද', 'අන්තවාදී', 'බල්ලොන්ට', 'තියන', 'බය', 'දෙන', 'සැලකිල්ල', 'lka', 'Dinuk', 'USER', '·', '28', 'May', '2019', 'නැගෙනහිර', 'පළාත්', 'ආණ්ඩුකාර', 'එම්එල්ඒඑම්', 'හිස්බුල්ලා', 'ත්\u200dරිකුණාමලයමඩකලපුව', 'හා', 'අම්පාර', 'යන', 'දිස්ත්\u200dරික්කයන්හි', 'දිස්ත්\u200dරික්', 'සම්බන්ධිකරණ', 'කමිටුවල', 'සම', 'සභාපතිවරයා', 'ලෙස', 'ජනාධිපති', 'මෛත්\u200dරිපාල', 'සිරිසේන', 'මහතා', 'විසින්', 'පත්කරණු', 'ලැබ', 'තිබෙනවා', 'SriLanka', 'lka']	1	['None']	offensive	[[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]	toxic
12	1164509759682351104	['පුක', 'කියන්නෙත්', 'හොද', 'මාර්කටින්', 'ස්ට්\u200dරැජික්', 'එකක්', 'තමයි']	1	['None']	offensive	[[1, 0, 0, 0, 0, 0, 0]]	toxic
13	868588921302560768	['ඈත්ත', 'කියනකොට', 'මලපනිනවා', 'නේද', 'ප්\u200dරිසෙන්ටර්', 'පකෝ', 'URL']	1	['None']	offensive	[[0, 0, 0, 0, 0, 1, 0]]	toxic
14	1051749065422188544	['80', 'නොදකින්', 'IMDb', 'ratings', 'තිබ්බට', 'මට', 'නම්', 'මේක', 'සෙට්', 'නෑ', 'අමු', 'ගොබ්බයි', '—', 'watching', 'Moana']	1	['None']	offensive	[[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]]	toxic
15	1120690423993733125	['USER', 'බුර්කාව', 'ඉවත්', 'කරන්නට', 'කලින්', 'දේශීය', 'අන්තවාදීන්ට', 'පණ', 'පොවන', 'දේශපාලන', 'නරින්ගේ', 'බැටලු', 'හම', 'ඉවත්', 'කල', 'යුතුයි']	1	['None']	offensive	[[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]]	toxic
16	1183970587338625030	['USER', 'අනේ', 'පලයං', 'පකෝ', 'යන්න', 'ගෝඨාභය', 'ජනාධිපති', 'උනාම', 'උබ', 'කොරයි', 'fb', 'ට්විටර්', 'එකෙනුයි', 'අපි', 'දන්නවා', 'ජෙප්පොන්', 'හැටී', 'අමුඩ', 'ගහගෙනත්', 'කොලබ', 'ආවේ', 'රනිල්', 'ආවාම', 'සද්ද', 'නැතුව', 'ඉන්න', 'ලැට්', 'එකේදි', 'සල්ලි', 'ගත්තේ', 'තොපි', 'නැත්නම්', 'මෙරට', 'මෙලහකට', 'දියුණු', 'රටක්', 'කිසිම', 'ආන්ඩුව', 'වකට', 'කරන්න', 'දෙන්නේ', 'නෑ', 'රනිල්', 'කපටි', 'නිසා', 'සල්ලි', 'වලන්', 'නීෂ්ශබ්ද', 'කලා']	1	['None']	offensive	[[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]	toxic
17	618126508213735424	['රෑට', 'නින්දයන්නේ', 'නෑ', 'උදේට', 'ඇහැරෙන්න', 'බෑ', 'මොන', 'රෙද්දක්ද', 'යකෝ', 'මේක']	1	['None']	offensive	[[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]]	toxic
